Time (ms),3xAA,4xAA,2xAA,Time (minutes),3xAA (V),4xAA (V),2xAA (V)
1865489,952,783,766,31.0914833333,4.6484375,3.8232421875,3.740234375
1870490,952,782,772,31.1748333333,4.6484375,3.818359375,3.76953125
1875491,952,781,730,31.2581833333,4.6484375,3.8134765625,3.564453125
1880493,952,782,731,31.34155,4.6484375,3.818359375,3.5693359375
1885494,951,782,772,31.4249,4.6435546875,3.818359375,3.76953125
1890495,951,781,731,31.50825,4.6435546875,3.8134765625,3.5693359375
1895496,951,781,731,31.5916,4.6435546875,3.8134765625,3.5693359375
1900497,951,782,731,31.67495,4.6435546875,3.818359375,3.5693359375
1905499,951,781,731,31.7583166667,4.6435546875,3.8134765625,3.5693359375
1910501,951,781,731,31.8416833333,4.6435546875,3.8134765625,3.5693359375
1915502,950,781,771,31.9250333333,4.638671875,3.8134765625,3.7646484375
